educationClimateIndex,advancedPlacement,beforeandafterschoolprgms,blueribbonschool,charterschools,giftedandtalented,internationbaccalaureate,magnetschool,sitebased,collegebound,voctech,adulteducationclasses,adultother,specialeducation,alterantiveprogram,yearroundclasses,ESL,Povertylevel,Instructionalexpensepupil,AYPschool,OBInstID
AVERAGE,Y,N,N,N,Y,N,Y,N,84,Y,N,,Y,N,N,N,30 PERCENT OR MORE,7305,N,4018669
LOW,Y,Y,N,N,N,N,N,N,96,N,N,,Y,N,N,N,30 PERCENT OR MORE,7305,Y,5280279
AVERAGE,Y,N,N,N,N,N,Y,N,93,Y,Y,Y,Y,N,N,Y,30 PERCENT OR MORE,7305,Y,1759436
LOW,N,N,N,N,N,N,Y,N,55,N,N,,Y,N,N,N,30 PERCENT OR MORE,7305,N,581406
AVERAGE,N,N,N,Y,N,N,N,N,0,N,N,,N,N,N,N,30 PERCENT OR MORE,3833,N,5700090181
AVERAGE,Y,N,N,N,Y,N,Y,N,84,Y,N,,Y,N,N,N,30 PERCENT OR MORE,7305,N,4018669
ABOVE AVERAGE,Y,N,N,N,Y,N,N,N,96,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,6840,N,579348
LOW,Y,N,N,N,N,N,N,N,84,N,N,,Y,N,N,N,30 PERCENT OR MORE,7305,N,5700081307
UNCLASSIFIED,N,N,N,Y,N,N,N,N,0,N,N,,N,N,N,N,NOT REPORTED,3425,N,5700110953
BELOW AVERAGE,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,6 - 15.9 PERCENT,0,N,5700074566
BELOW AVERAGE,Y,N,N,N,Y,N,N,N,85,Y,N,,Y,Y,N,Y,6 - 15.9 PERCENT,5227,N,579738
AVERAGE,Y,N,N,N,Y,Y,N,N,95,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,16586,Y,578722
ABOVE AVERAGE,Y,Y,N,N,Y,N,N,Y,81,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,6945,N,580311
AVERAGE,Y,Y,N,N,Y,N,N,N,94,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,7839,Y,580359
LOW,Y,N,N,N,N,N,N,N,84,N,N,,Y,N,N,N,30 PERCENT OR MORE,7305,N,5700081307
ABOVE AVERAGE,Y,Y,N,N,Y,N,N,Y,96,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,7081,N,580517
ABOVE AVERAGE,N,Y,N,N,Y,N,N,Y,0,Y,Y,Y,Y,N,N,Y,6 - 15.9 PERCENT,5763,N,4945866
ABOVE AVERAGE,Y,N,N,N,Y,N,N,N,96,Y,N,,Y,N,N,Y,6 - 15.9 PERCENT,5763,N,580036
